cap,beta,s,rho0,weights,d_sel,slope,n_eq,ap_sel,W_sel,W_nbs,poa,sigma_star
35,1.0,0.25,0.9,grid-heavy,0.10000000000000009,-0.3600000000492098,1,0.0,0.48765738069554715,0.7334510908401217,1.5040295089843576,0.5223448543998782
35,1.0,0.25,0.95,equal,0.050000000000000044,-0.19000000003877024,1,0.0,0.5108306626962487,0.7446987324298536,1.4578191694664737,0.28554125394232327
35,1.0,0.25,0.95,driver-heavy,0.050000000000000044,-0.19000000003877024,1,0.0,0.566551789873244,0.802714346152823,1.416841956023855,0.28554125394232327
35,1.0,0.25,0.95,grid-heavy,0.050000000000000044,-0.19000000003877024,1,0.0,0.5212655364099572,0.7334510908401217,1.4070584752092414,0.28554125394232327
35,1.0,0.25,0.97,equal,0.03000000000000025,-0.11640000002199889,1,0.0,0.5617494496002183,0.7446987324298536,1.3256777251136342,0.132626326275115
35,1.0,0.25,0.97,driver-heavy,0.03000000000000025,-0.11640000002199889,1,0.0,0.6271898822009462,0.802714346152823,1.2798585706388041,0.132626326275115
35,1.0,0.25,0.97,grid-heavy,0.03000000000000025,-0.11640000002199889,1,0.0,0.5752454749111742,0.7334510908401217,1.2750227908413825,0.132626326275115
35,1.0,0.4,0.9,equal,0.10000000000000009,-0.22500000001479667,1,0.0,0.4596321078655374,0.7446987324298536,1.6202060728266416,0.7869610088289402
35,1.0,0.4,0.9,driver-heavy,0.10000000000000009,-0.22500000001479667,1,0.0,0.5019709930132933,0.802714346152823,1.5991249640426242,0.7869610088289402
35,1.0,0.4,0.9,grid-heavy,0.10000000000000009,-0.22500000001479667,1,0.0,0.48765738069554715,0.7334510908401217,1.5040295089843576,0.7869610088289402
35,1.0,0.4,0.95,equal,0.050000000000000266,-0.1187500000110475,1,0.0,0.5108306626962484,0.7446987324298536,1.4578191694664744,0.4380752480968524
35,1.0,0.4,0.95,driver-heavy,0.050000000000000266,-0.1187500000110475,1,0.0,0.5665517898732437,0.802714346152823,1.4168419560238554,0.4380752480968524
35,1.0,0.4,0.95,grid-heavy,0.050000000000000266,-0.1187500000110475,1,0.0,0.521265536409957,0.7334510908401217,1.407058475209242,0.4380752480968524
35,1.0,0.4,0.97,equal,0.03000000000000025,-0.0727500000019532,1,0.0,0.5617494496002183,0.7446987324298536,1.3256777251136342,0.20541136382931913
35,1.0,0.4,0.97,driver-heavy,0.03000000000000025,-0.0727500000019532,1,0.0,0.6271898822009462,0.802714346152823,1.2798585706388041,0.20541136382931913
35,1.0,0.4,0.97,grid-heavy,0.03000000000000025,-0.0727500000019532,1,0.0,0.5752454749111742,0.7334510908401217,1.2750227908413825,0.20541136382931913
35,1.0,0.6,0.9,equal,0.10000000000000009,-0.15000000000431335,1,0.0,0.4596321078655374,0.7446987324298536,1.6202060728266416,1.13978254806769
35,1.0,0.6,0.9,driver-heavy,0.10000000000000009,-0.15000000000431335,1,0.0,0.5019709930132933,0.802714346152823,1.5991249640426242,1.13978254806769
35,1.0,0.6,0.9,grid-heavy,0.10000000000000009,-0.15000000000431335,1,0.0,0.48765738069554715,0.7334510908401217,1.5040295089843576,1.13978254806769
35,1.0,0.6,0.95,equal,0.050000000000000266,-0.07916666667773242,1,0.0,0.5108306626962484,0.7446987324298536,1.4578191694664744,0.6414539069695578
