driver_behavior,fleet_policy,grid_policy,policy,capacity_pct,rows,driver_pass_rows,fleet_pass_rows,grid_pass_rows,mutually_acceptable_rows,mean_delivered_ratio,mean_peak_ratio,mean_energy_cost_ratio,mean_p95_wait_delta_min,mean_demand_charge_delta_usd_month_25,mean_ramp_p95_ratio,dominant_failure_pattern
PriceSensitive,FleetQueueAware,GridPeakPenalty,D_PriceSensitive__F_QueueAware__G_PeakPenalty,50,10,0,0,0,0,0.8646674958837274,1.0458413741128862,0.8169163052496774,2542.4999999999995,245.0,0.671096972258012,driver_fleet_grid_fail
PriceSensitive,FleetServiceFirst,NoGridIncentive,D_PriceSensitive__F_ServiceFirst__G_NoGrid,20,10,0,0,0,0,0.9132068585480697,1.019811320754717,0.9010475042086801,3519.0,52.5,0.8534150321158084,driver_fleet_grid_fail
PriceSensitive,FleetServiceFirst,NoGridIncentive,D_PriceSensitive__F_ServiceFirst__G_NoGrid,35,10,0,0,0,0,0.8799217927729904,1.0141414141414142,0.8552639478560939,2321.9999999999995,70.0,1.0380899342081198,driver_fleet_grid_fail
PriceSensitive,FleetServiceFirst,NoGridIncentive,D_PriceSensitive__F_ServiceFirst__G_NoGrid,50,10,0,0,0,0,0.8783668556923537,1.0,0.8543891837846932,2236.7999999999997,0.0,1.065131185769169,driver_fleet_grid_fail
ReserveSeeking,FleetServiceFirst,NoGridIncentive,D_ReserveSeeking__F_ServiceFirst__G_NoGrid,20,10,0,0,0,0,0.9255011388109748,1.0132075471698114,0.913889464069707,1021.2,35.0,0.996421627840092,driver_fleet_grid_fail
ReserveSeeking,FleetServiceFirst,NoGridIncentive,D_ReserveSeeking__F_ServiceFirst__G_NoGrid,35,10,0,0,0,0,0.9106864247718873,0.9966981132075471,0.8910649765722718,595.4999999999999,-17.5,1.2809439290563516,driver_fleet_grid_fail
ReserveSeeking,FleetServiceFirst,NoGridIncentive,D_ReserveSeeking__F_ServiceFirst__G_NoGrid,50,10,0,0,0,0,0.9133191507372148,1.0,0.8940412632731052,553.4999999999999,0.0,1.3534145815506915,driver_fleet_grid_fail
SoCCompliance,FleetQueueAware,GridPeakPenalty,D_SoCCompliance__F_QueueAware__G_PeakPenalty,20,10,0,0,0,0,0.8368032238543099,1.019811320754717,0.8229065774286939,3623.999999999999,52.5,0.4369149458345311,driver_fleet_grid_fail
SoCCompliance,FleetQueueAware,GridPeakPenalty,D_SoCCompliance__F_QueueAware__G_PeakPenalty,35,10,0,0,0,0,0.8085669577232689,1.0534190068221483,0.7726744595679534,2635.2,262.5,0.6702011076706504,driver_fleet_grid_fail
SoCCompliance,FleetQueueAware,GridPeakPenalty,D_SoCCompliance__F_QueueAware__G_PeakPenalty,50,10,0,0,0,0,0.8060219339621278,1.0553576452374647,0.7728388700817643,2698.7999999999997,297.5,0.6408027930901637,driver_fleet_grid_fail
SoCCompliance,FleetServiceFirst,NoGridIncentive,D_SoCCompliance__F_ServiceFirst__G_NoGrid,20,10,0,0,0,0,0.8303271793010006,1.019811320754717,0.8218005801863251,3621.2999999999993,52.5,0.7291807113411941,driver_fleet_grid_fail
SoCCompliance,FleetServiceFirst,NoGridIncentive,D_SoCCompliance__F_ServiceFirst__G_NoGrid,35,10,0,0,0,0,0.7988790457982964,1.0141414141414142,0.774940230764379,2502.8999999999996,70.0,0.9851836879644267,driver_fleet_grid_fail
SoCCompliance,FleetServiceFirst,NoGridIncentive,D_SoCCompliance__F_ServiceFirst__G_NoGrid,50,10,0,0,0,0,0.8005285923955496,1.0,0.7696774957205422,2396.3999999999996,0.0,0.9796811971767792,driver_fleet_grid_fail
SoCQueueCompliance,FleetServiceFirst,NoGridIncentive,D_SoCQueueCompliance__F_ServiceFirst__G_NoGrid,20,10,0,0,0,0,0.8878078445773319,1.019811320754717,0.8808885243431845,5132.099999999999,52.5,0.6458829450675863,driver_fleet_grid_fail
SoCQueueCompliance,FleetServiceFirst,NoGridIncentive,D_SoCQueueCompliance__F_ServiceFirst__G_NoGrid,35,10,0,0,0,0,0.8488714993189846,1.0353535353535352,0.834747063695696,3809.7,175.0,0.8102428038771123,driver_fleet_grid_fail
SoCQueueCompliance,FleetServiceFirst,NoGridIncentive,D_SoCQueueCompliance__F_ServiceFirst__G_NoGrid,50,10,0,0,0,0,0.846425379384623,1.0175,0.8294103143399368,3804.0,105.0,0.7957668717935983,driver_fleet_grid_fail
UrgencyDriven,FleetServiceFirst,NoGridIncentive,D_UrgencyDriven__F_ServiceFirst__G_NoGrid,20,10,0,0,0,0,0.9788114221764207,1.0066037735849056,0.9768342222474251,60.299999999999976,17.5,1.080702329594478,driver_fleet_grid_fail
UrgencyDriven,FleetServiceFirst,NoGridIncentive,D_UrgencyDriven__F_ServiceFirst__G_NoGrid,35,10,0,0,0,0,0.9758232449048952,1.0,0.9681579624304966,60.299999999999976,0.0,1.3199826661473075,driver_fleet_grid_fail
UrgencyDriven,FleetServiceFirst,NoGridIncentive,D_UrgencyDriven__F_ServiceFirst__G_NoGrid,50,10,0,0,0,0,0.9796825455924665,1.0,0.9756876711373483,60.299999999999976,0.0,1.3263194978900064,driver_fleet_grid_fail
