cluster,sessionID
2,1_1_193_825_2018-11-06 00:41:32.820330
2,1_1_178_823_2018-11-06 00:45:56.341121
2,1_1_193_819_2018-11-06 01:08:35.089055
2,1_1_178_823_2018-11-06 06:40:12.520306
1,1_1_178_824_2018-11-06 13:15:31.037434
1,1_1_194_821_2018-11-06 13:25:09.108653
2,1_1_191_785_2018-11-06 13:26:19.161046
1,1_1_193_825_2018-11-06 13:29:11.710092
1,1_1_191_789_2018-11-06 13:37:36.536912
1,1_1_178_823_2018-11-06 13:48:33.738412
1,1_1_194_826_2018-11-06 13:52:43.719987
0,1_1_179_796_2018-11-06 13:58:58.756982
2,1_1_193_827_2018-11-06 14:01:30.820816
1,1_1_178_828_2018-11-06 14:08:40.558234
1,1_1_193_819_2018-11-06 14:15:00.810119
1,1_1_191_785_2018-11-06 14:18:43.803904
1,1_1_178_817_2018-11-06 14:21:30.160417
1,1_1_193_820_2018-11-06 14:24:38.267575
1,1_1_179_788_2018-11-06 14:27:09.444568
1,1_1_193_816_2018-11-06 14:28:03.959572
1,1_1_179_799_2018-11-06 14:34:53.456838
1,1_1_193_829_2018-11-06 14:41:16.290032
2,1_1_194_822_2018-11-06 14:43:00.111233
0,1_1_179_810_2018-11-06 14:43:37.557025
0,1_1_194_818_2018-11-06 14:47:13.178296
1,1_1_179_815_2018-11-06 14:47:33.210348
0,1_1_191_803_2018-11-06 14:57:55.313619
1,1_1_179_791_2018-11-06 15:03:27.261920
1,1_1_179_813_2018-11-06 15:06:06.067677
1,1_1_191_793_2018-11-06 15:09:59.504969
1,1_1_179_783_2018-11-06 15:10:37.560374
1,1_1_179_781_2018-11-06 15:23:07.320241
1,1_1_179_797_2018-11-06 15:23:12.198592
1,1_1_191_782_2018-11-06 15:27:21.949560
1,1_1_191_780_2018-11-06 15:33:59.682281
0,1_1_179_779_2018-11-06 15:36:50.975012
1,1_1_191_795_2018-11-06 15:37:23.937622
1,1_1_179_809_2018-11-06 15:41:14.062263
0,1_1_191_811_2018-11-06 15:43:00.952875
1,1_1_179_801_2018-11-06 15:46:41.527884
1,1_1_179_800_2018-11-06 15:52:06.011151
1,1_1_179_798_2018-11-06 15:53:37.040360
0,1_1_191_804_2018-11-06 15:56:27.381049
1,1_1_179_787_2018-11-06 15:56:53.985371
1,1_1_191_806_2018-11-06 15:57:08.466745
1,1_1_191_807_2018-11-06 15:58:07.682682
1,1_1_191_802_2018-11-06 15:58:24.323000
1,1_1_191_778_2018-11-06 15:59:17.212733
1,1_1_191_805_2018-11-06 15:59:43.487287
1,1_1_191_812_2018-11-06 16:00:40.025714
2,1_1_191_808_2018-11-06 16:01:23.013025
0,1_1_191_792_2018-11-06 16:08:30.583292
0,1_1_191_784_2018-11-06 16:12:06.796762
2,1_1_193_827_2018-11-06 16:43:24.655820
1,1_1_191_786_2018-11-06 18:25:05.280100
2,1_1_193_827_2018-11-06 19:12:02.449634
1,1_1_194_822_2018-11-06 19:44:21.158205
0,1_1_193_816_2018-11-06 20:31:12.026759
2,1_1_179_779_2018-11-06 20:39:57.413778
2,1_1_179_777_2018-11-06 21:29:09.569832
2,1_1_194_821_2018-11-06 22:05:03.798109
2,1_1_178_828_2018-11-06 23:02:07.306963
2,1_1_193_825_2018-11-06 23:52:10.754403
2,1_1_178_823_2018-11-07 03:02:08.863505
2,1_1_193_819_2018-11-07 05:46:23.754008
0,1_1_178_817_2018-11-07 13:31:30.712020
1,1_1_191_789_2018-11-07 13:39:34.874195
1,1_1_194_821_2018-11-07 13:40:50.841846
0,1_1_179_801_2018-11-07 14:02:23.599710
1,1_1_178_828_2018-11-07 14:03:52.928103
1,1_1_193_829_2018-11-07 14:09:32.334792
1,1_1_179_797_2018-11-07 14:11:00.940520
1,1_1_179_815_2018-11-07 14:13:20.200927
1,1_1_193_819_2018-11-07 14:14:05.090250
2,1_1_193_827_2018-11-07 14:15:33.820060
1,1_1_193_820_2018-11-07 14:17:36.459841
1,1_1_191_807_2018-11-07 14:17:45.563579
0,1_1_191_802_2018-11-07 14:20:21.358116
1,1_1_178_823_2018-11-07 14:27:41.720006
1,1_1_193_816_2018-11-07 14:29:58.250867
1,1_1_194_818_2018-11-07 14:30:26.910815
1,1_1_194_826_2018-11-07 14:42:34.456088
0,1_1_179_799_2018-11-07 14:44:08.897973
1,1_1_194_822_2018-11-07 14:44:34.578137
0,1_1_179_810_2018-11-07 14:45:27.225734
1,1_1_178_824_2018-11-07 14:50:00.829218
1,1_1_179_800_2018-11-07 14:54:21.985077
0,1_1_179_791_2018-11-07 14:54:23.086837
1,1_1_179_809_2018-11-07 14:54:47.554995
1,1_1_193_825_2018-11-07 14:57:33.005250
0,1_1_179_813_2018-11-07 15:04:54.872816
0,1_1_179_777_2018-11-07 15:08:13.035885
0,1_1_179_794_2018-11-07 15:10:22.546371
1,1_1_179_787_2018-11-07 15:12:33.597511
1,1_1_191_780_2018-11-07 15:14:06.301643
1,1_1_179_781_2018-11-07 15:18:07.399062
1,1_1_191_785_2018-11-07 15:26:38.330118
1,1_1_179_783_2018-11-07 15:27:57.693882
1,1_1_179_788_2018-11-07 15:29:37.602775
0,1_1_179_790_2018-11-07 15:33:43.689100
1,1_1_179_779_2018-11-07 15:33:57.689923
0,1_1_191_803_2018-11-07 15:35:28.799596
1,1_1_191_812_2018-11-07 15:42:08.525941
1,1_1_191_782_2018-11-07 15:42:39.679563
0,1_1_191_784_2018-11-07 15:49:26.811400
1,1_1_191_793_2018-11-07 15:49:43.379967
1,1_1_191_792_2018-11-07 15:49:51.550668
0,1_1_191_811_2018-11-07 15:51:00.621849
1,1_1_191_805_2018-11-07 15:51:50.189098
1,1_1_191_808_2018-11-07 15:52:19.790427
1,1_1_191_804_2018-11-07 15:58:05.297123
1,1_1_191_786_2018-11-07 15:59:28.309713
1,1_1_193_827_2018-11-07 16:43:04.501654
1,1_1_193_829_2018-11-07 19:12:42.318400
1,1_1_179_791_2018-11-07 19:33:58.594493
2,1_1_179_777_2018-11-07 19:47:44.563835
2,1_1_179_810_2018-11-07 20:04:03.498981
0,1_1_193_820_2018-11-07 20:12:59.453923
2,1_1_179_813_2018-11-07 21:04:18.359161
2,1_1_179_796_2018-11-07 21:08:46.657606
2,1_1_194_821_2018-11-07 22:29:03.621390
2,1_1_179_800_2018-11-07 23:07:44.558253
2,1_1_178_823_2018-11-07 23:42:32.804551
2,1_1_193_825_2018-11-07 23:55:02.063227
2,1_1_193_820_2018-11-08 00:30:19.230798
2,1_1_178_828_2018-11-08 00:52:15.626170
2,1_1_193_819_2018-11-08 00:52:28.541352
2,1_1_178_823_2018-11-08 01:29:39.899756
2,1_1_178_823_2018-11-08 04:45:11.332890
1,1_1_194_821_2018-11-08 13:33:05.716488
1,1_1_191_789_2018-11-08 13:44:26.666862
1,1_1_178_823_2018-11-08 13:47:09.836321
1,1_1_178_828_2018-11-08 13:58:09.927580
1,1_1_193_827_2018-11-08 13:59:23.767546
1,1_1_179_797_2018-11-08 14:07:47.603590
0,1_1_191_778_2018-11-08 14:10:31.727242
1,1_1_193_819_2018-11-08 14:12:47.471774
0,1_1_193_816_2018-11-08 14:13:28.817072
1,1_1_193_820_2018-11-08 14:19:50.016637
1,1_1_179_787_2018-11-08 14:27:10.105746
1,1_1_191_807_2018-11-08 14:32:39.466333
1,1_1_194_818_2018-11-08 14:34:58.285208
1,1_1_179_815_2018-11-08 14:37:18.169517
2,1_1_193_825_2018-11-08 14:48:19.297284
0,1_1_191_802_2018-11-08 14:55:36.874487
1,1_1_194_826_2018-11-08 14:58:03.987529
1,1_1_191_780_2018-11-08 14:58:31.717044
1,1_1_178_817_2018-11-08 15:04:02.679065
1,1_1_179_810_2018-11-08 15:04:33.110031
0,1_1_191_803_2018-11-08 15:17:00.871617
1,1_1_178_824_2018-11-08 15:21:08.871348
0,1_1_179_800_2018-11-08 15:22:04.750223
1,1_1_191_812_2018-11-08 15:22:10.350573
0,1_1_191_795_2018-11-08 15:22:24.130074
1,1_1_191_785_2018-11-08 15:28:12.511395
0,1_1_179_779_2018-11-08 15:31:43.582114
1,1_1_194_822_2018-11-08 15:32:58.914001
1,1_1_179_781_2018-11-08 15:34:47.740730
0,1_1_179_809_2018-11-08 15:35:38.172055
1,1_1_179_777_2018-11-08 15:35:44.419300
1,1_1_179_798_2018-11-08 15:37:35.887733
0,1_1_179_790_2018-11-08 15:40:27.592030
1,1_1_179_801_2018-11-08 15:41:14.483758
1,1_1_179_796_2018-11-08 15:43:43.700408
1,1_1_191_806_2018-11-08 15:45:17.559037
0,1_1_191_793_2018-11-08 15:48:32.201743
0,1_1_179_794_2018-11-08 15:51:56.662852
1,1_1_179_783_2018-11-08 15:53:10.739544
1,1_1_191_811_2018-11-08 15:55:24.609291
